Organization Name,Organization Name URL,Headquarters Location,Founded Date,Founded Date Precision,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Description,Website,X (Twitter),LinkedIn,Founders,Number of Funding Rounds,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Full Description
Arca Wealth,https://www.crunchbase.com/organization/arca-wealth,"New York, New York, United States",2025-01-01,year,Financial Services,2026-06-25,48500000,USD,48500000,Arca Wealth is a wealth management firm that combines human advisors with AI to deliver personalized financial advice,https://www.arcawealth.com,,https://www.linkedin.com/company/arcawealth,,2,Series A,64000000,USD,64000000,"General Catalyst, Index Ventures, Venrock","General Catalyst, Venrock","Arca is an AI-native wealth management firm that pairs human financial advisors with purpose-built AI agents to deliver highly personalized, scalable advice for high-net-worth and growing clients. The company runs an integrated platform that automates operational work"
Thesis Care,https://www.crunchbase.com/organization/trovo-health,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Health Care",2026-03-25,45000000,USD,45000000,Thesis Care uses AI technology to provide comprehensive healthcare solutions.,https://www.trovohealth.com,,https://www.linkedin.com/company/trovohealth,"Aditya Pandyaram, Niren Gandra",2,Series A,60000000,USD,60000000,"Oak HC/FT, CRV, Black Opal Ventures",Oak HC/FT,"Thesis Care uses AI technology to provide comprehensive healthcare solutions, combining smart algorithms with professional human coaching to deliver personalized patient care."
Deeptune,https://www.crunchbase.com/organization/deeptune-6c1e,"New York, New York, United States",2022-08-01,month,"Artificial Intelligence (AI), Simulation, Software",2026-03-19,43000000,USD,43000000,Training gyms for AI agents,https://deeptune.ai,,https://www.linkedin.com/company/deeptuneai,"Lukas Schmit, Tim Lupo",2,Series A,46141593,USD,46141593,"Andreessen Horowitz, Abstract, Seven Seven Six, Inspired Capital Partners, Abstract","Andreessen Horowitz, Seven Seven Six",
Jazz,https://www.crunchbase.com/organization/jazz-efc5,"New York, New York, United States",2024-11-01,month,Cyber Security,2026-03-10,43000000,USD,43000000,DLP that’s in tune with your business,https://jazz.security,,https://www.linkedin.com/company/jazzsecurity,"Ido Livneh, Noam Issachar, Yonatan Zohar",3,Series A,61000000,USD,61000000,"Team8, Ten Eleven Ventures, Glilot Capital Partners, MassMutual Ventures, Merlin Ventures","AWS & Crowdstrike Cybersecurity Accelerator, Glilot Capital Partners, Team8","Jazz replaces rule-writing and alert chasing with AI DLP that deeply understands your organization, investigates signals at the source, and only surfaces meaningful incidents so your team can finally see the full story."
Starbridge,https://www.crunchbase.com/organization/starbridge-fcbe,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Business Intelligence, Education, Government, GovTech, Infrastructure, Procurement",2025-10-21,42000000,USD,42000000,Starbridge provides a go-to-market intelligence platform designed for companies that sell to government and educational institutions.,https://starbridge.ai,,https://www.linkedin.com/company/starbridge-ai,Justin Wenig,2,Series A,52000000,USD,52000000,"Craft Ventures, Autotech Ventures, Owl Ventures, Commonweal Ventures, Avalanche VC","Craft Ventures, Owl Ventures","Starbridge provides a go-to-market intelligence platform designed for companies that sell to government and educational institutions. The platform compiles data such as contract expirations, requests for proposals, meeting minutes, grant awards, and strategic documents to help organizations identify relevant sales opportunities. It integrates with customer relationship management systems to supply contextual information, including budget insights and contact data. Starbridge also offers tools to assist with proposal development by highlighting suitable opportunities and generating draft responses. The system includes features for prioritizing leads based on available data and supports outbound engagement with templated messages tailored to verified contacts."
Ease Health,https://www.crunchbase.com/organization/ease-health,"New York, New York, United States",2025-01-01,year,"Artificial Intelligence (AI), Health Care, Mental Health, Outpatient Care",2026-03-02,41000000,USD,41000000,"Ease Health focused on behavioral health solutions,building an AI-native electronic health record system for behavioral health practices.",https://easehealth.com,https://x.com/tryeasehealth,https://www.linkedin.com/company/ease-health,"Raymond Wang, Zach Cohen",1,Series A,41000000,USD,41000000,"Andreessen Horowitz, BoxGroup, Abstract, Sunflower Capital, Maven Ventures",Andreessen Horowitz,"Ease Health is a New York-based startup offering an AI-native operating system for behavioral health providers. It unifies CRM, EHR, and revenue cycle management (RCM) into a single platform to streamline operations across patient intake, clinical care, billing, and collections. The platform handles the full patient journey, consolidating 6–10 typically separate systems to cut administrative burdens and enable AI-driven automation, such as documentation that reduces note-taking time by up to 50%. It supports diverse care levels, including outpatient, IOP, PHP, residential treatment, detox, inpatient psychiatry, and MAT. Additional tools include patient portals, scheduling, AI patient identification, Power BI dashboards, and compliance features like staff credential tracking."
Etherealize,https://www.crunchbase.com/organization/etherealize-5cca,"New York, New York, United States",2024-01-01,year,"Blockchain, Financial Services, Information Technology",2025-09-03,40000000,USD,40000000,Etherealize is a company dedicated to connecting traditional financial institutions.,https://www.etherealize.com,,https://www.linkedin.com/company/etherealize,"Danny Ryan, Grant Hummer, Vivek Raman, Zach Obront",2,Series A,40000000,USD,40000000,"Paradigm, Electric Capital, Ethereum Foundation, Vitalik Buterin","Electric Capital, Ethereum Foundation, Paradigm, Vitalik Buterin","Etherealize is a company dedicated to connecting traditional financial institutions, particularly Wall Street, to the Ethereum blockchain environment."
Velocity,https://www.crunchbase.com/organization/velocity-d132,"New York, New York, United States",2025-01-01,year,"Blockchain, Financial Services, FinTech",2026-07-14,38000000,USD,38000000,Velocity provides a unified platform for efficiently moving and managing funds across both traditional banks and blockchains.,https://www.velocity.xyz,,https://www.linkedin.com/company/velocityxyz/,,2,Series A,48000000,USD,48000000,"QED Investors, Ripple, FirstMark, Dragonfly, Coinbase Ventures","Activant Capital, Dragonfly, FirstMark",Velocity provides a unified platform for efficiently moving and managing funds across both traditional banks and blockchains.
Xscape Photonics,https://www.crunchbase.com/organization/xscape-photonics,"New York, New York, United States",2022-01-01,year,"AI Infrastructure, Artificial Intelligence (AI), Data Center, Information Technology, Optical Communication, Semiconductor, Simulation",2026-03-11,37000000,USD,37000000,Xscape Photonics provides photonic chips for high-speed connections in high-performance computing systems and data centers.,https://www.xscapephotonics.com/,,https://www.linkedin.com/company/xscape-photonics-inc,"Alexander Gaeta, Vivek Raghunathan, Yoshi Okawachi",4,Series A,94000000,USD,94000000,"NVIDIA, OUP (Osage University Partners), Cisco Investments, LifeX Ventures, Addition","Addition, Altair, IAG Capital Partners","Xscape Photonics provides photonic chips for high-speed connections in high-performance computing systems and data centers. The company uses photonics to realize scalable, high-bandwidth, energy-sustainable, and cost-effective solutions that enable the next generation of AI, ML, and simulation hardware."
AegisAI,https://www.crunchbase.com/organization/aegisai,"New York, New York, United States",2025-01-01,year,"Agentic AI, Artificial Intelligence (AI), Cyber Security, Intrusion Detection, Security",2026-07-23,36000000,USD,36000000,Aegis AI is an email security platform that leverages AI agents to analyze emails like human analysts.,https://www.aegisai.ai,,https://www.linkedin.com/company/aegisaisecurity,"Cy Khormaee, Ryan Luo",2,Series A,49000000,USD,49000000,"Accel, Battery Ventures, Foundation Capital","Accel, Battery Ventures, Foundation Capital","Aegis AI develops an AI-native email security platform that helps organizations detect and respond to email-based cyber threats. The platform uses coordinated AI agents to analyze email content, sender behavior, and communication patterns to identify phishing attempts, business email compromise, malware, ransomware, spam, and other evolving threats. It integrates with email services such as Google Workspace and Microsoft 365 through APIs, allowing deployment without requiring changes to existing mail routing. The platform provides automated threat detection, quarantine and remediation capabilities, along with reporting and visibility into targeted attacks and security trends. Aegis AI also supports security teams by reducing manual review efforts and adapting to emerging email threats through AI-driven analysis rather than relying solely on static rules or signatures."
Phia,https://www.crunchbase.com/organization/phia-1838,"New York, New York, United States",2022-01-01,year,"Apparel, Artificial Intelligence (AI), E-Commerce, Fashion, Shopping",2025-12-04,35500000,USD,35500000,Phia is AI-powered shopping agent that provides a tool for online shoppers to compare prices and discover deals.,https://phia.com,https://x.com/Phiaco_,https://www.linkedin.com/company/phia-co,"Phoebe Gates, Sophia Kianni",6,Series A,45550000,USD,45550000,"Khosla Ventures, Kleiner Perkins, Notable Capital, Soma Capital, Offline Ventures","Desiree Gruber, Kleiner Perkins, Kris Jenner, Notable Capital, Offline Ventures, Soma Capital, Stanford University","Phia is a company that provides a tool for online shoppers to compare prices and discover better deals across thousands of retailers and resale platforms. It offers a browser extension and a mobile app that include features such as price-comparison, alerts for price changes, and suggestions of similar or used items when an item seems overpriced. Phia draws on data to help users assess whether a listed price is fair, high, or typical. It also curates personalized shopping feeds and editorial picks based on shoppers’ behavior and preferences. The goal is to simplify decision-making for consumers by consolidating options and insights into one interface."
Yuzu Health,https://www.crunchbase.com/organization/yuzu-health,"New York, New York, United States",2022-06-01,month,"Health Care, Health Insurance, Insurance, Software",2026-04-06,35000000,USD,35000000,"Yuzu Health is a third-party administrator providing claims processing, billing, and plan management for employer-sponsored insurance plans.",https://yuzu.health,,https://www.linkedin.com/company/yuzu-health,"Max Kauderer, Russell Pekala, Ryan Lee",3,Series A,40000000,USD,40000000,"General Catalyst, Neo, WndrCo, Chemistry, Lachy Groom","Chemistry, General Catalyst, Lachy Groom","Yuzu Health operates as a third-party administrator (TPA), providing claims processing, compliance, billing, and plan management services for employer-sponsored health insurance plans. The company primarily serves plan designers and employers by offering customizable health plans and integrated tools that streamline workflows, improve transparency, and reduce administrative complexity. Its platform emphasizes real-time data visibility, simplified financial management, and a unified portal for handling member and employer interactions. Backed by venture funding, Yuzu Health aims to make healthcare more accessible and efficient by rebuilding the underlying infrastructure of insurance administration with a technology-first approach."
Echo,https://www.crunchbase.com/organization/echo-d91c,"New York, New York, United States",2025-01-01,year,"Artificial Intelligence (AI), Cloud Security, Computer, Cyber Security, Network Security, Software",2025-12-16,35000000,USD,35000000,Echo develops and provides container base images designed to eliminate known software vulnerabilities in cloud-native applications.,https://www.echo.ai/,,https://www.linkedin.com/company/echo-hq,"Eilon Elhadad, Eylam Milner",2,Series A,50000000,USD,50000000,"SentinelOne, Hyperwise Ventures, Notable Capital, N47, Silicon Valley CISO Investments","Hyperwise Ventures, N47, Notable Capital","Echo develops and provides container base images designed to eliminate known software vulnerabilities in cloud-native applications by rebuilding and hardening images with only essential components. The company’s offerings include a catalog of CVE-free images that integrate into existing development workflows and are continuously updated to address emerging security concerns, supported by automated processes and compatibility with common scanning tools. Echo’s platform uses AI-driven methods to produce and maintain these images, aiming to support engineering and security teams in reducing vulnerability management tasks and easing compliance efforts. The company also supplies resources and technical support to help users adopt secure base images within their DevOps pipelines."
Probook,https://www.crunchbase.com/organization/probook,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Machine Learning, SaaS, Software",2026-06-23,34000000,USD,34000000,"Probook is an AI operating system designed specifically for home services, focusing on optimizing the dispatch process.",https://www.probook.ai,,https://www.linkedin.com/company/probook-ai,"Ben Cervantez, George Eliadis",2,Series A,40000000,USD,40000000,"Andreessen Horowitz, Sequoia Capital","Andreessen Horowitz, Sequoia Capital","Probook develops AI-powered dispatching software for home service businesses, including HVAC, plumbing, and electrical service providers. Its platform analyzes historical operational and sales data to match technicians with service calls and automate dispatch-related workflows. The software integrates with existing field service management systems and supports tasks such as scheduling, customer communications, and job information verification. Probook is designed to help dispatchers focus on exception handling and other operational activities while reducing manual assignment processes. The company serves home service operators ranging from independent businesses to multi-location organizations."
ORION Security,https://www.crunchbase.com/organization/orion-security-e3dd,"New York, New York, United States",2025-01-01,year,"Artificial Intelligence (AI), Cyber Security, Network Security",2026-02-03,32000000,USD,32000000,ORION is a cybersecurity company that prevents data loss by replacing policy-based enforcement with real-time contextual intelligence.,https://orionsec.io,,https://www.linkedin.com/company/orionsec,"Jonathan Kreiner, Nitay Milner",3,Series A,38000000,USD,38000000,"Norwest, Alumni Ventures, IBM, Underscore VC, PICO Venture Partners","AWS & Crowdstrike Cybersecurity Accelerator, LAMA Partners (fka FXP Ventures), Norwest, PICO Venture Partners","ORION Security is a cybersecurity company that provides vulnerability assessment, penetration testing, and threat simulation services to help organizations identify and remediate security weaknesses before they can be exploited. The company’s offerings include red team assessments, network and application penetration tests, cloud security evaluations, and adversary emulation exercises that simulate realistic attack scenarios to test defenses and response capabilities. Its platform also supports continuous security validation and automated testing that help security and IT teams maintain visibility into risk exposure as environments evolve. ORION Security works with clients to customize engagements based on specific technology stacks, compliance requirements, and risk tolerances, producing actionable reports that guide mitigation planning and security improvements. The company engages with technical stakeholders to align testing outcomes with security architecture objectives and operational policies. ORION Security’s services aim to support proactive security posture management and strengthen defenses against emerging threats."
Runlayer,https://www.crunchbase.com/organization/runlayer,"New York, New York, United States",2025-01-01,year,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Finance, Health Care, Internet of Things",2026-06-24,30000000,USD,30000000,"Runlayer helps companies deploy, manage, and secure AI agents across their organizations.",https://www.runlayer.com,https://x.com/runlayer,https://www.linkedin.com/company/runlayer,"Andrew Berman, Tal Peretz, Vitor Balocco",2,Series A,41000000,USD,41000000,"Khosla Ventures, Felicis, Immad Akhund","Felicis, Khosla Ventures","Runlayer provides an AI enablement and control platform that helps companies deploy, manage, and secure AI agents across their organizations. The platform enables employees to create AI workflows using governed agents, tools, internal knowledge, and integrations through features such as MCP gateways, agent management, and workflow automation. Runlayer helps organizations monitor AI usage, manage permissions, protect sensitive data, and control agent activities through security and governance capabilities. The company supports AI adoption by connecting enterprise systems with AI tools while providing visibility, compliance, and operational oversight. Runlayer serves businesses looking to integrate AI agents into daily operations with structured access, security controls, and scalable management."
Prosper AI,https://www.crunchbase.com/organization/prosper-ai-70ea,"New York, New York, United States",2023-01-01,year,"Agentic AI, Artificial Intelligence (AI), Health Care, SaaS, Scheduling",2026-06-22,30000000,USD,30000000,Prosper AI utilizes AI voice agents to automate tasks like scheduling and eligibility verification.,https://www.getprosper.ai,,https://www.linkedin.com/company/prospertechnologies,"Josep Marc Mingot, Xavier de Gracia",3,Series A,35000000,USD,35000000,"Andreessen Horowitz, Base10 Partners, Emergence Capital, Y Combinator, CRV","Andreessen Horowitz, Emergence Capital","Prosper AI develops AI-powered voice agents that automate patient and payor communications for healthcare organizations. Its platform supports tasks such as appointment scheduling, patient intake, benefits verification, billing inquiries, claim follow-ups, and prior authorization management through conversational phone interactions. The system integrates with electronic health record and practice management systems, allowing it to retrieve and update information without manual data entry. Prosper AI also includes quality assurance capabilities that review calls for accuracy, compliance, and performance, while offering analytics to monitor operations. The company serves healthcare providers, health systems, medical billing organizations, pharmaceutical companies, and other healthcare partners seeking to manage high volumes of administrative calls more efficiently."
Predoc,https://www.crunchbase.com/organization/memr-health,"New York, New York, United States",2022-02-01,day,"Analytics, Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Medical",2025-09-02,30000000,USD,30000000,Predoc provides an AI-native platform for medical record retrieval and analysis and health information management.,https://www.predoc.ai,https://x.com/predoc_ai,https://www.linkedin.com/company/predocai,"Alex Daniels, Kaushal Kulkarni, Nishant Hari, Priya Mehta",3,Series A,36425000,USD,36425000,"Northzone, Operator Partners, Eniac Ventures, (ERA) Entrepreneurs Roundtable Accelerator, Travis May","Base 10 Ventures, (ERA) Entrepreneurs Roundtable Accelerator, Northzone","Predoc provides an AI-native platform for medical record retrieval and analysis and health information management. The company offers a range of services, including medical record retrieval, record indexation (from both structured and unstructured data), and medical record analysis. Its platform replaces manual health information management with intelligent, end-to-end automation connecting and transforming all formats and sources of clinical data, even faxed medical record PDFs, into digestible clinical insights that amplify, but are not meant to replace, clinical judgment."
Didero,https://www.crunchbase.com/organization/didero,"New York, New York, United States",2023-12-01,month,"Artificial Intelligence (AI), Industrial Automation, Procurement, Supply Chain Management",2026-02-12,30000000,USD,30000000,Didero is a software company that uses an AI procurement agent to automate supply chain processes for manufacturers and distributors.,https://www.didero.ai,,https://www.linkedin.com/company/didero-ai/,"Lorenz Pallhuber, Tim Spencer, Tom Petit",2,Series A,37000000,USD,37000000,"Headline, BoxGroup, First Round Capital, Chemistry, Construct Capital","Chemistry, First Round Capital, Headline","Didero is a software company that uses an AI procurement agent to automate supply chain processes for manufacturers and distributors. The platform functions within current systems and communications to manage essential procurement processes, assisting customers in enhancing visibility, accelerating order cycles, and minimizing operational costs throughout intricate supply chains."
Brandlight,https://www.crunchbase.com/organization/brandlight-6a6b,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Brand Marketing, Digital Marketing, Information Technology, Market Research",2026-02-11,30000000,USD,30000000,"Brandlight is a digital technology company that provides an AI-driven platform for monitoring, analyzing, and optimizing how brands appear.",https://www.brandlight.ai,https://x.com/brandlightai,https://www.linkedin.com/company/brandlightai,"Didi Dvash, Imri Marcus, Uri Gafni",2,Series A,35750000,USD,35750000,"Cardumen Capital, Pelion Venture Partners, G20 Ventures","Cardumen Capital, G20 Ventures, Pelion Venture Partners","Brandlight is a digital technology company that provides an AI-driven platform for monitoring, analyzing, and optimizing how brands appear and are represented across AI-generated search and conversational results on platforms. Its platform tracks real-time AI visibility signals, including brand mentions, sentiment, share of voice, and citation sources, to help marketing, content, and brand teams understand how AI models reference their content and narratives. Brandlight also offers analytics and governance tools that enable users to assess competitive context, identify content opportunities, and align AI-facing messaging with brand strategy. The company works with enterprise clients to integrate insights into digital strategies that bridge traditional SEO with emerging AI discovery workflows and support decision-making around content optimization and brand presence in AI-mediated interactions. Brandlight’s technology emphasizes multi-engine coverage and structured visibility intelligence tailored to evolving AI search landscapes."
exacare ai,https://www.crunchbase.com/organization/exacare,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Health Care, Information Technology, Software",2025-10-16,30000000,USD,30000000,"Exacare ai is the leading AI platform for post-acute care, helping teams accelerate admissions decisions and maximize reimbursement",https://www.exacare.com/,,https://www.linkedin.com/company/exa-care,"Ben Willox, Laird Russell",3,Series A,36500000,USD,36500000,"Insight Partners, Foundation Capital, 1984 Ventures, Bienville Capital, Anonymous  ","Foundation Capital, Insight Partners","Exacare ai is the leading AI platform for post-acute care operations. The exacare ai platform, which helps providers operate more efficiently and maximize reimbursement, is used across the United States to streamline referrals, analyze admissions packets, and manage reimbursement workflows. Exacare’s AI-powered capabilities accelerate decision-making, helping care teams respond faster, reduce administrative burden, improve accuracy, and capture more revenue. Exacare ai is a private company with more than 2,000 facilities and agencies as customers, including Ignite Medical Resorts, Pearl Healthcare, and Prestige Care. Learn more at exacare.com"
Fig Security,https://www.crunchbase.com/organization/fig-security,"New York, New York, United States",2025-01-01,year,"Cyber Security, Network Security, Security",2026-03-03,30000000,USD,30000000,Fig Security is a cybersecurity startup that detects gaps in operational data security infrastructure and maintains functionality.,https://www.fig.security,,https://www.linkedin.com/company/fig-security,"Gal Shafir, Nir Loya Dahan, Roy Haimof",2,Series A,38000000,USD,38000000,"Team8, Ten Eleven Ventures, RSA Conference, René Bonvanie, Douglas Merritt","RSA Conference, Team8, Ten Eleven Ventures","Fig Security specializes in enhancing Security Operations Resilience, ensuring detection and response remain effective amid constant changes in the security landscape. The company’s solution continuously maps how security data travels through an environment’s tools and systems, monitors for unplanned drift or configuration shifts, and alerts teams to potential issues before they affect operations. It also offers capabilities to simulate planned updates, test fixes, and deploy adjustments across existing security stacks. Fig Security’s technology works with a wide range of security infrastructure components to trace data lineage and support teams in preserving operational integrity amid evolving environments."
Stuut,https://www.crunchbase.com/organization/stuut,"New York, New York, United States",2024-01-01,day,"Artificial Intelligence (AI), Financial Services, FinTech, Software",2025-11-20,29500000,USD,29500000,Stuut provides an AI platform that automates accounts receivable work for companies.,https://www.stuut.ai,https://x.com/StuutAI,https://www.linkedin.com/company/stuut-inc,"Ben Winter, Miraj Mohsin, Tarek Alaruri",4,Series A,35500000,USD,35500000,"Andreessen Horowitz, Sequoia Capital, Khosla Ventures, Vesey Ventures, 1984 Ventures","Activant Capital, Andreessen Horowitz, Valley Ventures","Stuut provides an AI platform that automates accounts receivable work for companies. The company offers an AI-based automation platform specialized in accounts receivable (AR) management. Its system autonomously handles customer outreach via email, SMS, and voice to collect overdue invoices, proactively reducing manual collections work. The platform matches incoming payments to the correct invoices within the ERP, eliminating tedious reconciliation tasks. Stuut also resolves customer disputes and deductions by gathering documentation and maintaining context across interactions. Its AI agents learn each customer’s payment behavior, becoming more effective over time. The company’s technology deploys quickly—Stuut claims implementation in days—and integrates with existing financial systems to boost cash flow and free AR teams from repetitive tasks."
